regulon,mean_RI,max_RI,std_RI,mean_AUC,max_AUC,n_active_cell_types,rank,lineage
ZNF224_+,0.005717107799340513,0.0074785628422699745,0.0012780558147090554,0.06104704555737705,0.079733369,61,165,Global
TCF7_+,0.00571693649322294,0.008377281653879905,0.0012126023699341752,0.08147217475409836,0.119086989,61,166,Global
ZBTB25_+,0.005716895882919737,0.007827762228579848,0.0011963089806782267,0.10589082811475409,0.144709068,61,167,Global
EGR1_+,0.0057168553595535925,0.00959081785045568,0.001180069292267238,0.1739089585737705,0.290657928,61,168,Global
ELF1_+,0.005716755774843841,0.007132054851522465,0.0011381647501432109,0.05594793383606556,0.069712777,61,169,Global
IKZF1_+,0.005716642451770524,0.007175249681773165,0.001089450969206691,0.05566022029508197,0.069771186,61,170,Global
NFIC_+,0.005716573294724579,0.009825058197022035,0.0010590347455305524,0.08605783063934427,0.14730737,61,171,Global
KLF3_+,0.005716558936397503,0.007101874118312805,0.0010521590576439857,0.08191332983606558,0.101637699,61,172,Global
KLF6_+,0.005716554931585922,0.008704304723435276,0.0010509297703990158,0.08882643283606556,0.134859235,61,173,Global
PHF20_+,0.00571655397847296,0.006993430097161721,0.0010498637685530923,0.07002768204918033,0.085572889,61,174,Global
ZNF639_+,0.005716453391064849,0.007132689367004317,0.001002777958855683,0.08640184713114755,0.107668759,61,175,Global
HMGA1_+,0.0057164412838769186,0.008425692801356039,0.0009975240249591184,0.08566324954098363,0.125930294,61,176,Global
FOSB_+,0.005716409503381994,0.009009548849176234,0.0009820105617362295,0.12451212814754098,0.195605658,61,177,Global
ZBED5_+,0.0057163970807053415,0.00788376482250416,0.0009758208583413327,0.044279685967213114,0.060941439,61,178,Global
ZEB1_+,0.005716366039381544,0.007151924033924043,0.0009602447181315096,0.15489404855737707,0.193536247,61,179,Global
JUND_+,0.005716361590793159,0.008714355908814787,0.00095852437903165,0.09668834581967213,0.146963428,61,180,Global
STAT6_+,0.005716292571660382,0.0076233413152409345,0.0009231019549783417,0.04248521878688524,0.056555549,61,181,Global
MAX_+,0.005716238433966073,0.00732859870201723,0.0008941981595036704,0.06688296278688524,0.085617279,61,182,Global
ZNF101_+,0.005716237385958088,0.007765066995460973,0.0008938198306846473,0.1266034216885246,0.171640081,61,183,Global
MAZ_+,0.0057162175245976665,0.00821486943185177,0.0008829332262849087,0.07062253262295085,0.101243955,61,184,Global
TGIF1_+,0.005716199499492387,0.007128252974346839,0.0008727735106737919,0.07157451318032787,0.089136767,61,185,Global
MYC_+,0.005716198859174106,0.007261556282483487,0.0008727691683707015,0.08632399086885247,0.109500586,61,186,Global
HIVEP2_+,0.005716196560502299,0.007413059077661785,0.0008715427728932792,0.1046157863442623,0.135450794,61,187,Global
MBD2_+,0.005716144802977079,0.00885653885034978,0.0008429062338260398,0.07577027011475411,0.117030373,61,188,Global
ZFY_+,0.005716144413703126,0.007222530042759666,0.0008422023885295261,0.03259940275409836,0.041131243,61,189,Global
SATB1_+,0.005716141506785648,0.007468096110493353,0.0008405927479293009,0.12159663437704919,0.158596461,61,190,Global
JUN_+,0.00571612975327788,0.007609071735776885,0.000833879220789626,0.16854202844262298,0.223943433,61,191,Global
ZNF783_+,0.00571611574818469,0.007527912725612991,0.0008258022965271033,0.07497827073770491,0.098570066,61,192,Global
JUNB_+,0.005716111878897587,0.008058782757260047,0.0008237235857875186,0.17028048937704915,0.239513445,61,193,Global
PHF1_+,0.005716063217758718,0.006694323218008968,0.0007945365382522138,0.14325922493442625,0.167625639,61,194,Global
KLF9_+,0.0057159185751897035,0.007255960722318835,0.0007019368748799109,0.16832767137704918,0.213357635,61,195,Global
HSF1_+,0.005715716827071031,0.006622149995192513,0.0005466888139991355,0.1882920980819672,0.217959021,61,196,Global
ATF4_+,0.0057156429127809575,0.006886026889851621,0.0004775709851118158,0.0825533246885246,0.099340868,61,197,Global
PATZ1_+,0.005715641273312765,0.0068524005887802665,0.0004758706679739611,0.1637249257704918,0.196063787,61,198,Global
KLF2_+,0.005715586565282229,0.006356303692921554,0.00041699754682755167,0.09287619572131148,0.103222118,61,199,Global
