eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
CUX1_+_(430g),intermediate,0.0015562011311002,99,0.15499636120975874,0.16763527903718,0.15499636120975874,61,48
NFKB2_+_(281g),intermediate,0.001549371994131,100,0.08708543187049862,0.0742366074898973,0.03972594776157884,61,30
POU4F1_+_(36g),intermediate,0.0015398545238583,101,0.056191852063136594,0.0402908587085235,0.017580541036531238,61,14
NFATC1_+_(214g),intermediate,0.0015371569789524,102,0.08465481735490225,0.0706089734733728,0.0638672435853657,61,24
MEF2A_+_(210g),intermediate,0.0015348570953992,103,0.10323469649722719,0.0963604089247328,0.08956185421835637,61,34
IKZF3_+_(253g),intermediate,0.0015181749410729,104,0.2237724019733977,0.215905786633913,0.22194957510181915,61,52
ZBED5_+_(136g),intermediate,0.001493429050689,105,0.1930339798954303,0.199335802447942,-0.18799973976584683,61,49
GATA3_+_(338g),intermediate,0.0014916536833922,106,0.12220658213443664,0.098660585965964,0.030044558090918633,61,35
ATF3_+_(444g),intermediate,0.0014840740450669,107,0.09506528096683141,0.0973973268962643,-0.08110870059711799,61,30
ARID5B_+_(68g),intermediate,0.0014771209231436,108,0.19524892753300155,0.202199140065269,0.19376200825793413,61,49
TBX21_+_(535g),intermediate,0.0014768548584082,109,0.136218913494942,0.14416761062347,0.12989194706830134,61,39
VDR_+_(55g),intermediate,0.0014642516158853,110,0.1624793354906079,0.154631245444718,0.1590712439544068,61,45
RXRA_+_(993g),intermediate,0.0014601436044148,111,0.08651266308817868,0.0732266830611958,0.07973221188061512,61,29
BACH1_+_(837g),intermediate,0.0014541065581958,112,0.07993345985892218,0.0761939820032586,0.06603759274863719,61,26
ELK4_+_(696g),intermediate,0.0014505972343194,113,0.12242631680259866,0.130669613919661,0.11604163979542834,61,38
SREBF2_+_(560g),intermediate,0.0014285837133687,114,0.10212271835325236,0.0911689604265252,0.08937089852926107,61,28
CEBPD_+_(730g),intermediate,0.0014253230313741,115,0.054002582562340494,0.0387147986339892,-0.0024287502537490464,61,15
KLF4_+_(885g),intermediate,0.0014236118655351,116,0.07259241630978674,0.0605001276552654,0.05506278207970764,61,21
STAT6_+_(2688g),intermediate,0.0014112142995845,117,0.17004482253769856,0.190469069059097,0.16597514366600802,61,45
SPI1_+_(966g),intermediate,0.0013878861839833,118,0.13841758472113336,0.134290594652171,0.133698348126862,61,42
CEBPA_+_(997g),intermediate,0.0013762343876398,119,0.06238082628233168,0.0528346552552938,0.04276545871616117,61,18
POU2F2_+_(622g),intermediate,0.0013524758062761,120,0.15590546539389846,0.163813776148879,0.1541604127211327,61,42
FOXO1_+_(564g),intermediate,0.0013492313885424,121,0.14671936394094,0.136501592183289,-0.13474152992107968,61,42
KLF7_+_(387g),intermediate,0.0013475901797717,122,0.1286963736833738,0.118761884767958,-0.12079893803142712,61,40
ETS2_+_(947g),intermediate,0.0013422893236495,123,0.05388872383027555,0.0424591942384672,0.016396016629950255,61,17
ZBTB1_extended_+_(178g),intermediate,0.00134202268517,124,0.07988201299238405,0.069142535812124,0.0007394733119583381,61,26
