regulon,mean_RI,std_RI,max_RI,min_RI,rank,stability_class
IRF5_+,0.0018048420093825103,0.0008266577983171185,0.0036565599140557198,0.0009429388161301956,80,intermediate
FOXJ3_+,0.0017990485966690698,0.0007139736470956884,0.0032720415944537955,0.0005981336023596048,81,intermediate
EOMES_+,0.0017985444049329023,0.0013212116813677553,0.004962791190833506,0.0004771013540625186,82,intermediate
KLF10_+,0.0017544698876382665,0.0008660911570445923,0.0038097914724828995,0.0009710705029576457,83,intermediate
NR4A1_+,0.0017336055686029135,0.001148774862384606,0.004910541634432642,0.0009757811896261418,84,intermediate
MYBL1_+,0.001703409336523792,0.001190539524418352,0.004584296561777222,0.0004741147340413238,85,intermediate
SP4_+,0.0016944377057161034,0.0007066204440393904,0.002908678793754516,0.0005578411952417026,86,intermediate
BATF3_+,0.001676139412050393,0.0011444185620693471,0.005697522822711974,0.0008508292536947614,87,intermediate
CEBPB_+,0.0016697131663978067,0.0007650867089404758,0.003673935512884565,0.0009711198833695449,88,intermediate
ESRRA_+,0.00166251863479433,0.0009756455722492773,0.004441606533053333,0.0007984054389588813,89,intermediate
SOX13_+,0.0016424245208228143,0.0017218825277412126,0.006379147509434433,0.0003424778760001349,90,intermediate
ZBTB40_+,0.0016413758574088774,0.0007345756903849608,0.003402311089057869,0.000417945073540804,91,intermediate
MITF_+,0.0016026815705934528,0.0017315311010434652,0.006648845239055626,0.0006219899904491068,92,intermediate
VENTX_+,0.0015958271661109715,0.0016405312212783097,0.005535832726259846,0.0003883004464014434,93,intermediate
RUNX1_+,0.001589831059008757,0.0005399346935384337,0.002557314436714043,0.0008290429164386838,94,intermediate
ATF5_+,0.0015849899434009387,0.000932896418199731,0.0036938058457078073,0.0008163778605221556,95,intermediate
ZNF274_+,0.0015786215044772429,0.0005369802502687362,0.002871957373154565,0.0007870477479935512,96,intermediate
STAT2_+,0.0015612762199084097,0.0005970400214467068,0.0032166725128696073,0.000979957249914056,97,intermediate
SMAD4_+,0.0015566615207680925,0.000569316762167055,0.0028470581893992606,0.0004996464167849159,98,intermediate
CUX1_+,0.0015562011311002473,0.0007498642774222678,0.004132823135098166,0.0010017695342313371,99,intermediate
NFKB2_+,0.0015493719941310701,0.0009811365930908842,0.00404026552334891,0.000668001529784612,100,intermediate
POU4F1_+,0.0015398545238583337,0.0013915099771570647,0.007157074876464383,0.000593572815721222,101,intermediate
NFATC1_+,0.001537156978952418,0.0006693772651186768,0.003981517596081806,0.0007984115841169911,102,intermediate
MEF2A_+,0.0015348570953992557,0.0005494733164689126,0.0028746884582714887,0.0009128050815387157,103,intermediate
IKZF3_+,0.0015181749410729836,0.000695266227850792,0.0025425983212613566,0.00020248683850778484,104,intermediate
ZBED5_+,0.001493429050689099,0.0003386620908294623,0.0022161019491497265,0.0008578174425787494,105,intermediate
GATA3_+,0.0014916536833922635,0.0008970046466485643,0.003118494487460767,0.000432891812084168,106,intermediate
ATF3_+,0.0014840740450669549,0.0011456866320345503,0.0046308296779901,0.0006932117020028288,107,intermediate
ARID5B_+,0.0014771209231436684,0.0009012409962540935,0.003524500793178758,7.844683012727493e-05,108,intermediate
TBX21_+,0.001476854858408278,0.0009252223163385507,0.004094969319243105,0.0005370906563896933,109,intermediate
VDR_+,0.0014642516158853496,0.001274359861073554,0.005766199434728498,5.29215596292131e-05,110,intermediate
RXRA_+,0.0014601436044148048,0.0010016197051907435,0.00406437445934743,0.0007652650154319661,111,intermediate
BACH1_+,0.00145410655819583,0.0009720349174495248,0.00409185013291339,0.0007483680542156466,112,intermediate
ELK4_+,0.0014505972343194682,0.0005149404521596448,0.0025099682997630633,0.00045000551468883556,113,intermediate
SREBF2_+,0.00142858371336875,0.0004078792474286592,0.0025120740591523154,0.0009483484929570014,114,intermediate
CEBPD_+,0.0014253230313741704,0.0009165011949585161,0.003778665789743677,0.0006572244758187246,115,intermediate
KLF4_+,0.0014236118655351654,0.0010336062505618135,0.004070672511174997,0.0006985682772959047,116,intermediate
