cell_type_1,cell_type_2,ad_coupling_r,global_rb,ad_minus_global,n_shared_locus_genes
MAIT_SLC4A10,gdT2_GZMK,0.9776106255718306,0.945071106742715,0.032539518829115655,11
CD4_Tn_CXCR5,pDC_IRF4,0.8521310174206163,0.819762025403732,0.03236899201688426,6
MAIT_SLC4A10,ncMono_IFIT1,0.7578667183048854,0.726095221417162,0.031771496887723405,5
CD4_Th17-like_RORC,CD8_CTL_GZMK,0.9780149941416103,0.94724264854192,0.03077234559969033,19
CD4_Tem_CCR7neg,Proliferative_T_MKI67,0.9118646441180218,0.881304048395103,0.030560595722918804,9
Transitional_NK_GZMK,ncMono_FCGR3A,0.7846376820887706,0.75465360824428,0.029984073844490644,11
DC2_CD1C,Transitional_B_MME,0.8332085209890912,0.803897861589566,0.029310659399525152,6
Atypical_Bm_ITGAX,MAIT_SLC4A10,0.8681463830568165,0.839062418176018,0.029083964880798452,10
CD4_Treg_FOXP3,gdT2_GZMK,0.9386078093545004,0.911845726575114,0.02676208277938641,10
Mature_NK_dim_FCGR3A,ncMono_FCGR3A,0.8146838349326266,0.788005967795376,0.02667786713725062,24
CD4_Treg_FCRL3,NK_bright_XCL1,0.9261863416365291,0.901071177288466,0.025115164348063157,9
MK_GP9,Transitional_B_MME,0.414077643125929,0.390494718600482,0.02358292452544697,7
NKT_NCR1,ncMono_IFIT1,0.7533094308359471,0.729905041439359,0.023404389396588177,5
Atypical_Bm_ITGAX,NKT_NCR1,0.8482045566440931,0.82535770832045,0.022846848323643143,10
CD4_Tn_CXCR5,gdT2_GZMK,0.9302378057509125,0.907683513270851,0.022554292480061577,5
CD4_Tn_SOX4,CD8_Tem_CCR7neg,0.9330265036261439,0.910854357856216,0.022172145769927876,13
Atypical_Bm_ITGAX,CD4_Tn_CCR7,0.860826568217882,0.838846175253001,0.021980392964880968,12
Switched_Bm_IGHE,gdT2_IL12RB2,0.8689016897127895,0.847226564264344,0.02167512544844552,9
cMono_IL1B,ncMono_IFIT1,0.9047040456397126,0.88314558180008,0.02155846383963267,5
CD4_Treg_FCRL3,DC2_CD1C,0.8487899120749651,0.827805487019978,0.0209844250549871,7
CD4_Tn_CCR7,Unswitched_Bm_CD1C,0.861742726426628,0.841131700434369,0.020611025992258947,14
CD4_Tem_CCR7neg,CD4_Tr1_IL10,0.920280247799051,0.900307477520274,0.019972770278777086,5
CD4_Tcm_IFI44L,MK_GP9,0.7136879330899687,0.693789738481061,0.019898194608907738,5
Atypical_Bm_ITGAX,Mature_NK_dim_FCGR3A,0.8420914582297664,0.824511891682078,0.01757956654768844,9
CD4_Treg_FOXP3,CD8_Tem_CCR7neg,0.947021094347644,0.931134131323767,0.015886963023877043,22
CD4_Th1-like_GZMK,pDC_IRF4,0.8356434849469047,0.820541875340394,0.015101609606510635,15
CD4_Tcm_IFI44L,Transitional_NK_GZMK,0.9100396543242361,0.895698863584368,0.014340790739868048,5
NKT_NCR1,ncMono_FCGR3A,0.8297460982155507,0.815426382548707,0.014319715666843646,22
Unswitched_Bm_CD1C,cMono_CD14,0.8295582427692573,0.815495564161977,0.014062678607280277,13
Switched_Bm_IGHDneg,Unswitched_Bm_CD1C,0.9776503397767025,0.963679855059546,0.01397048471715645,10
CD4_CTL_GZMH,Switched_activated_Bm_CD86,0.8689228302498666,0.854958974657354,0.013963855592512564,11
CD4_Tn_LIMS1,Switched_activated_Bm_CD86,0.8869578327809355,0.873185588288602,0.013772244492333496,8
CD4_Tn_CCR7,CD8_CTL_GZMK,0.9189918843303869,0.906211210633906,0.012780673696480949,25
Switched_Bm_IGHDneg,Switched_Bm_IGHE,0.9735921928277262,0.960820736696274,0.012771456131452252,12
CD4_Treg_FOXP3,CD8_CTL_GZMK,0.9498490802429687,0.937594481544682,0.012254598698286712,16
CD4_Tn_SOX4,CD4_Treg_FOXP3,0.9327517745266352,0.921398772032118,0.011353002494517206,10
CD4_Tn_CCR7,Switched_Bm_IGHE,0.8466251296885309,0.835438048408614,0.011187081279916855,12
CD4_Tfh-like_CXCR5,gdT2_GZMK,0.9178418183276821,0.906771214008799,0.01107060431888307,10
gdT2_IL12RB2,pDC_IRF4,0.8196735043149891,0.80868370083074,0.01098980348424905,14
CD4_Th_TNFRSF11A,CD4_Tn_LIMS1,0.9553340901654066,0.944894035897937,0.010440054267469634,9
CD4_Th_CCR4,Transitional_NK_GZMK,0.8985431015340004,0.888308849637006,0.01023425189699445,8
Bn_TCL1A,CD8_CTL_GZMK,0.8418226412551783,0.832057856321848,0.009764784933330217,19
Bn_TCL1A,CD4_Treg_FOXP3,0.846076673044068,0.837400119447236,0.008676553596831948,18
CD4_Tn_CCR7,intMono_GFRA2,0.7066000427924353,0.697946699143832,0.008653343648603262,5
