,mean_RI,median_RI,max_RI,std_RI,cv_RI,n_critical,stability_rank,role
ZNF224_+,0.002057147941673104,0.0020843928201112138,0.0030457423829527894,0.0005439157892978547,0.2644028550474976,0,62,neutral
FOS_+,0.0020548200157983285,0.001810151132772689,0.004009801570120791,0.0006271746487043062,0.30522120846453704,0,63,neutral
BPTF_+,0.0020514468509709523,0.0022108349352101516,0.003365102388300577,0.0006548035242471206,0.31919107415237696,0,64,neutral
SMAD3_+,0.0020463268832241746,0.0020753581751008733,0.003088020136494839,0.000699570006094855,0.3418662049978802,0,65,neutral
ZBTB7A_+,0.0020381406416126956,0.0018999362578731654,0.003721281339327663,0.0004997474620460675,0.24519773149974597,0,66,neutral
IRF1_+,0.0019971232206506756,0.0019061629031124027,0.0032211607107018488,0.0004734980079055314,0.2370900316877657,0,67,neutral
PBX4_+,0.00199113938293673,0.0020448286803759373,0.0038197046578072424,0.0012932208105457112,0.6494878364511343,0,68,neutral
RARA_+,0.001966753297698527,0.0015009395973487178,0.005062026999010006,0.001018044617773212,0.517627004081747,3,69,neutral
RORA_+,0.0019416062002927253,0.0022488855028637953,0.0035930440796194075,0.0010252219178292286,0.5280277314455598,0,70,neutral
ELF1_+,0.0018942317436395305,0.002003056045285203,0.0026016941863113347,0.00047862510958676896,0.2526750546448321,0,71,neutral
IKZF1_+,0.0018823458875196176,0.0019161525148787605,0.0026641385229681375,0.00046429392565074497,0.24665707215791874,0,72,neutral
TFEB_+,0.0018763918578067053,0.0013310707886886102,0.003690067708678555,0.0009592256263872318,0.5112075187734256,0,73,neutral
RUNX3_+,0.0018742713965998526,0.001647054888156333,0.003917175801497961,0.0007959207747822801,0.4246560961243485,0,74,neutral
REL_+,0.0018740092149059297,0.0016903889507591866,0.003197016752424617,0.0006320165378772095,0.33725369785424525,0,75,neutral
GFI1_+,0.0018671856449499471,0.0012208736162545308,0.0055627822305542255,0.001473729501861876,0.7892785085717083,6,76,neutral
ZBTB4_+,0.0018628419655041673,0.0021598273584737915,0.003068060541251037,0.0007807279010818137,0.41910581526512286,0,77,neutral
NFATC3_+,0.0018204914706418979,0.0019814913515928583,0.0028797326429025327,0.000578882872658452,0.31798164488865116,0,78,neutral
KLF12_+,0.0018059629519691812,0.002023565561259632,0.0031356906231693334,0.0009672439224011751,0.5355834796117666,0,79,neutral
IRF5_+,0.0018048419980717886,0.001317392935662391,0.0036565599019660173,0.0008335181462528473,0.4618233322814501,0,80,neutral
