gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
ADIRF-AS1,1.3754452632794403,0.0,0.07246376811594203,0.1467938732667462,1.0,5,0.5875584020000001,0.9432841
ADPGK,1.4537496112527832,0.0,0.2318840579710145,0.10555871613361245,1.0,16,0.35678632875,0.49186254
ADPRM,1.7639535009831857,0.0,0.2318840579710145,0.1499694815787933,1.0,16,0.425779469375,0.64927936
WWP1,0.482236846069011,0.0,0.057971014492753624,0.0783783406220957,1.0,4,0.23854988,0.27290478
XKR8,1.1711794252620606,0.0,0.15942028985507245,0.11316971564369638,1.0,11,0.3459249109090909,0.49773666
XPNPEP3,1.9772622242301112,0.0,0.30434782608695654,0.120725854044901,1.0,21,0.42135250857142853,0.6056284
WDR5B,0.7107903019247751,0.0,0.08695652173913043,0.10062361239323869,1.0,6,0.28558213000000005,0.36742383
WDR60,1.010780570897815,0.0,0.13043478260869565,0.14458814998641478,1.0,9,0.3232236144444445,0.55505085
WDR77,0.4149699469706306,0.0,0.043478260869565216,0.023815685395556452,1.0,3,0.23932201333333333,0.25491688
ADSS,1.4813812974147622,0.0,0.21739130434782608,0.14804806726375075,1.0,15,0.3663378626666667,0.6467752
ADTRP,2.58981686157356,0.0,0.14492753623188406,0.1036185618157921,1.0,10,0.8044938150000001,1.0259677
AEBP2,0.4247140564801584,0.0,0.043478260869565216,0.05447597701989593,1.0,3,0.24388324000000003,0.27890366
AF117829.1,2.675035482757895,0.0,0.2608695652173913,0.07750730882771895,1.0,18,0.6244310477777777,0.76875615
AFAP1,1.5609541197311614,0.0,0.17391304347826086,0.13335758128448183,1.0,12,0.4386493175000001,0.61872005
AFF1,1.1880529949007261,0.0,0.21739130434782608,0.07959252145777707,1.0,15,0.30369494466666663,0.3709104
AFF3,1.3381567969557902,0.0,0.21739130434782608,0.10517887047045771,1.0,15,0.339653008,0.47002295
AFG3L2,0.8848853320440137,0.0,0.08695652173913043,0.06588202528825615,1.0,6,0.3587946983333333,0.4169033
AFTPH,1.0188387113363604,0.0,0.10144927536231885,0.14711200570463645,1.0,7,0.37236851,0.5004403
WDR82,0.49149793611465786,0.0,0.07246376811594203,0.09932195598550408,1.0,5,0.21620867800000002,0.27422395
WDSUB1,1.5610912239669559,0.0,0.2028985507246377,0.13147269120158178,1.0,14,0.4057938985714285,0.6350365
WDYHV1,2.056041345361746,0.0,0.2608695652173913,0.13294711731220876,1.0,18,0.47106048166666664,0.7232924
WIPF2,0.7455059365004352,0.0,0.043478260869565216,0.24575206842016506,1.0,3,0.39060232333333333,0.6347887
AGPAT2,0.9439771402925545,0.0,0.08695652173913043,0.06819744792203952,1.0,6,0.3824867916666666,0.45586357
AHCTF1,0.49327623200443704,0.0,0.043478260869565216,0.16122415892431863,1.0,3,0.27218702666666666,0.3870801
AHI1,3.7409923667449383,0.0,0.34782608695652173,0.11387098423770925,1.0,24,0.74788217375,1.0481004
AHR,1.388685171434302,0.0,0.14492753623188406,0.11824639779441926,1.0,10,0.429154296,0.58443964
AIDA,0.5870096152295066,0.0,0.10144927536231885,0.06041114557110849,1.0,7,0.22021741857142857,0.24079932
AIF1,0.9206460051731143,0.0,0.14492753623188406,0.14715103767155124,1.0,10,0.28161994,0.40786445
AIM2,2.85970251355666,0.0,0.2753623188405797,0.14395801070678327,1.0,19,0.6358871942105262,0.8935101
WDFY1,0.9866536434726197,0.0,0.11594202898550725,0.1338284824509799,1.0,8,0.33959393125000004,0.46218944
WDFY4,1.1634434082219542,0.0,0.11594202898550725,0.1337902955361372,1.0,8,0.40006110125,0.526924
WDR1,0.9148646264440732,0.0,0.2318840579710145,0.13595784962083335,1.0,16,0.2219442075,0.35759902
WDR11,2.1531702419753884,0.0,0.463768115942029,0.12794698154522566,1.0,32,0.3688969984375,0.6619365
WDR18,0.9597969706621469,0.0,0.11594202898550725,0.13503256488891036,1.0,8,0.32901924000000005,0.50939083
WDR27,1.5886998785602142,0.0,0.18840579710144928,0.15120291459700552,1.0,13,0.4250429384615384,0.64265704
WDR37,1.3599566476222693,0.0,0.11594202898550725,0.16775317602558637,1.0,8,0.46102666999999997,0.6877471
WDR41,1.8723363536323294,0.0,0.2753623188405797,0.1429035039440263,1.0,19,0.4162111905263158,0.6409124
WDR54,0.8418471246118624,0.0,0.10144927536231885,0.10597527652006478,1.0,7,0.3125871628571429,0.39884266
WASHC2A,0.7328052552532796,0.0,0.057971014492753624,0.09926186212949073,1.0,4,0.36056848,0.45875227
WASHC2C,1.6551120358849885,0.0,0.21739130434782608,0.11820946316950187,1.0,15,0.4182362273333334,0.587526
WASHC3,0.8103200129044459,0.0,0.07246376811594203,0.10730963313442166,1.0,5,0.355605398,0.42760602
WBP1L,1.390924135053433,0.0,0.2608695652173913,0.06462396272522763,1.0,18,0.32567784,0.40026128
AIP,0.9431956716396369,0.0,0.14492753623188406,0.07207410906804235,1.0,10,0.29552394299999996,0.3715574
AK1,4.088648586347233,0.0,0.5797101449275363,0.18977514933767692,1.0,40,0.6129136882499999,1.0894451
AK3,1.588256160609421,0.0,0.21739130434782608,0.10819692683526294,1.0,15,0.4027135453333335,0.563916
AK5,2.7045698582807423,0.0,0.2753623188405797,0.22335262658511534,1.0,19,0.5646827026315789,1.2470995
AK9,1.2554673509752137,0.0,0.17391304347826086,0.0852576301358432,1.0,12,0.35826803166666665,0.44790182
AKAP13,0.40486004884404453,0.0,0.043478260869565216,0.12435064619856151,1.0,3,0.22763720333333334,0.2988845
AKAP7,1.5707855349891007,0.0,0.2028985507246377,0.12106137585500809,1.0,14,0.40987499999999993,0.61640805
AKIRIN2,0.6547486893277581,0.0,0.043478260869565216,0.23857360732538724,1.0,3,0.3444593,0.5563227
AKR1B1,0.5690248022466975,0.0,0.057971014492753624,0.14593470240086903,1.0,4,0.273535325,0.40405124
AGAP3,0.5673985487202282,0.0,0.043478260869565216,0.08221330658023152,1.0,3,0.3238370066666667,0.38879126
AGAP9,1.5849013248585904,0.0,0.14492753623188406,0.10891636224213963,1.0,10,0.49137795000000006,0.6907371
AL009179.2,1.0915961076138325,0.0,0.057971014492753624,0.0987784808809884,1.0,4,0.53740174,0.6743206
AL021707.8,1.3495715261061378,0.0,0.18840579710144928,0.11356334392893519,1.0,13,0.3666333938461538,0.52442443
AL031963.3,1.98633517423924,0.0,0.2028985507246377,0.20846127188312713,1.0,14,0.4914965535714286,0.9549001
AL033527.4,1.7233474862162914,0.0,0.043478260869565216,0.04709179852647205,1.0,3,0.9909746333333334,1.1132196
AL049840.5,1.6469170846358923,0.0,0.21739130434782608,0.09703340974764507,1.0,15,0.4176780093333333,0.62904274
AL109811.2,0.7394210495303938,0.0,0.08695652173913043,0.0693913264070043,1.0,6,0.29945798333333334,0.36366293
AL118506.1,1.702703356627944,0.0,0.13043478260869565,0.16328294534956966,1.0,9,0.5433119522222222,0.86804056
AL118516.1,3.705055505707412,0.0,0.5652173913043478,0.1643670887272679,1.0,39,0.567422913846154,1.0754155
VPS50,0.8930549844175999,0.0,0.08695652173913043,0.07302858085096364,1.0,6,0.3615837833333333,0.43137842
VPS53,2.562744331566283,0.0,0.4927536231884058,0.15914839975250783,1.0,34,0.41922367794117643,0.8392286
VRK2,0.6696044614063595,0.0,0.07246376811594203,0.08016046887333106,1.0,5,0.296247858,0.372386
VRK3,2.7445276986820764,0.0,0.4927536231884058,0.13205788593139256,1.0,34,0.45837108352941175,0.7070284
WAC-AS1,1.6177572985158168,0.0,0.2608695652173913,0.07213207657749376,1.0,18,0.37802545944444443,0.5038394
WARS,3.6754154214524335,0.0,0.6231884057971014,0.21944959633396577,1.0,43,0.5139796713953488,1.0802724
WARS2-AS1,0.5309773799656516,0.0,0.043478260869565216,0.07615458858828794,1.0,3,0.3031192266666667,0.3428249
WASHC1,1.973437731758926,0.0,0.5652173913043478,0.07077087054266973,1.0,39,0.3134750979487179,0.42129493
VKORC1L1,0.6606323150888836,0.0,0.043478260869565216,0.11841779875156822,1.0,3,0.3725736466666667,0.46485168
VNN2,1.8387961089199212,0.0,0.2608695652173913,0.1412470730872104,1.0,18,0.4207094733333333,0.63018066
VPS13C,1.1364110455022454,0.0,0.30434782608695654,0.10627287710348798,1.0,21,0.24377469142857144,0.325812
VPS16,1.2544167373011785,0.0,0.17391304347826086,0.08776858047847025,1.0,12,0.3564864916666666,0.5370227
VPS37B,0.3956231922247534,0.0,0.043478260869565216,0.07586876531497944,1.0,3,0.22609219333333333,0.2702478
VPS41,0.42847210914394956,0.0,0.043478260869565216,0.05828665934164934,1.0,3,0.24596377333333333,0.27676022
AL121933.2,0.597290022091126,0.0,0.043478260869565216,0.12598373228333903,1.0,3,0.33404032333333333,0.45478886
AL133243.3,0.5883505486753832,0.0,0.057971014492753624,0.11021609524618081,1.0,4,0.2879605225,0.38570514
AL133330.1,0.6797105640807449,0.0,0.07246376811594203,0.047759870880832445,1.0,5,0.302760316,0.3499805
AL136295.7,0.9297746198385098,0.0,0.08695652173913043,0.08582206198431175,1.0,6,0.37517778166666665,0.45021576
AL138756.1,0.7188814108047411,0.0,0.043478260869565216,0.04607326312356763,1.0,3,0.4134413766666667,0.4635501
AL139020.1,1.4491733679562755,0.0,0.043478260869565216,0.12299509448560242,1.0,3,0.8150729766666668,1.0108732
AL139384.1,0.7175478488091355,0.0,0.043478260869565216,0.10602996281517818,1.0,3,0.40659182000000005,0.49938104
AL157394.3,0.9173305693500212,0.0,0.057971014492753624,0.12298354977863246,1.0,4,0.44369524499999996,0.6433912
AKR1C3,1.5869035781018175,0.0,0.21739130434782608,0.16553483097339972,1.0,15,0.39332328533333333,0.62069917
AKTIP,1.1319062278867067,0.0,0.13043478260869565,0.1508050435011441,1.0,9,0.3631093788888889,0.585213
VASH1,2.990255441175948,0.0,0.2898550724637681,0.18841613632333698,1.0,20,0.6323970204999999,1.059569
VASP,0.8670971430841315,0.0,0.18840579710144928,0.11394135791787185,1.0,13,0.23569361384615384,0.32613602
VAT1,0.6103770267834024,0.0,0.057971014492753624,0.01727982725598376,1.0,4,0.30503401,0.31959844
