gene,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
AC005041.5,8,1.4280737358444782,0.33208735400965644,0.9126498046262314,0.8840579710144928,0.8989225231715965
PWP1,7,0.7160956698342832,0.3157422335482282,0.9126307767224743,0.8985507246376812,0.9053195026503191
MAP7D1,7,0.7581616892251637,0.3156368286295772,0.9125649107035777,0.8985507246376812,0.9059579491830198
RMC1,8,1.0539508041584964,0.3314297849970987,0.9124369820177265,0.8840579710144928,0.8985429301173483
TRAP1,7,0.9875599891324678,0.3161866993159294,0.9123926020572702,0.8985507246376812,0.9055341185870754
ZDHHC14,9,1.4725104387331789,0.3452611557108155,0.9123750662375569,0.8695652173913043,0.8918728435420191
MRPL20,7,0.9737490875754163,0.31620832481117656,0.9123700180148039,0.8985507246376812,0.9055210750282494
FRY,9,1.3282611740077268,0.3447862884584173,0.9123682310034028,0.8695652173913043,0.8920111193175118
PAFAH2,11,1.6335143313555476,0.36502857024040203,0.9123208572282451,0.8405797101449275,0.875782446851029
PCYOX1L,9,1.211508136937571,0.34541702033869204,0.912277228983462,0.8695652173913043,0.891586640067751
KRI1,7,0.6184445223266183,0.3155136316780413,0.9122715487941793,0.8985507246376812,0.9058505913814805
